REGIÃO,ANO,MÊS,ROUBO A TRANSEUNTE
NUCLEO BANDEIRANTE,2024,OUT,9
NUCLEO BANDEIRANTE,2024,NOV,11
NUCLEO BANDEIRANTE,2024,DEZ,8
PARANOA,2024,JAN,23
PARANOA,2024,FEV,31
PARANOA,2024,MAR,41
PARANOA,2024,ABR,65
PARANOA,2024,MAI,38
PARANOA,2024,JUN,44
PARANOA,2024,JUL,29
PARANOA,2024,AGO,48
PARANOA,2024,SET,36
PARANOA,2024,OUT,36
PARANOA,2024,NOV,28
PARANOA,2024,DEZ,30
PARK WAY,2024,JAN,2
PARK WAY,2024,FEV,2
PARK WAY,2024,MAR,0
PARK WAY,2024,ABR,1
PARK WAY,2024,MAI,1
PARK WAY,2024,JUN,0
PARK WAY,2024,JUL,1
PARK WAY,2024,AGO,0
PARK WAY,2024,SET,1
PARK WAY,2024,OUT,1
PARK WAY,2024,NOV,2
PARK WAY,2024,DEZ,0
PLANALTINA,2024,JAN,61
PLANALTINA,2024,FEV,35
PLANALTINA,2024,MAR,45
PLANALTINA,2024,ABR,45
PLANALTINA,2024,MAI,55
PLANALTINA,2024,JUN,30
PLANALTINA,2024,JUL,29
PLANALTINA,2024,AGO,49
PLANALTINA,2024,SET,51
PLANALTINA,2024,OUT,49
PLANALTINA,2024,NOV,59
PLANALTINA,2024,DEZ,26
RECANTO DAS EMAS,2024,JAN,42
RECANTO DAS EMAS,2024,FEV,51
RECANTO DAS EMAS,2024,MAR,41
RECANTO DAS EMAS,2024,ABR,50
RECANTO DAS EMAS,2024,MAI,29
RECANTO DAS EMAS,2024,JUN,53
RECANTO DAS EMAS,2024,JUL,59
RECANTO DAS EMAS,2024,AGO,50
RECANTO DAS EMAS,2024,SET,28
RECANTO DAS EMAS,2024,OUT,42
RECANTO DAS EMAS,2024,NOV,42
RECANTO DAS EMAS,2024,DEZ,42
RIACHO FUNDO,2024,JAN,10
RIACHO FUNDO,2024,FEV,11
RIACHO FUNDO,2024,MAR,10
RIACHO FUNDO,2024,ABR,7
RIACHO FUNDO,2024,MAI,9
RIACHO FUNDO,2024,JUN,19
RIACHO FUNDO,2024,JUL,6
RIACHO FUNDO,2024,AGO,14
RIACHO FUNDO,2024,SET,7
RIACHO FUNDO,2024,OUT,9
RIACHO FUNDO,2024,NOV,8
RIACHO FUNDO,2024,DEZ,2
RIACHO FUNDO II,2024,JAN,12
RIACHO FUNDO II,2024,FEV,12
RIACHO FUNDO II,2024,MAR,10
RIACHO FUNDO II,2024,ABR,16
RIACHO FUNDO II,2024,MAI,18
RIACHO FUNDO II,2024,JUN,10
RIACHO FUNDO II,2024,JUL,16
RIACHO FUNDO II,2024,AGO,18
RIACHO FUNDO II,2024,SET,15
RIACHO FUNDO II,2024,OUT,11
RIACHO FUNDO II,2024,NOV,11
RIACHO FUNDO II,2024,DEZ,15
SAMAMBAIA,2024,JAN,88
SAMAMBAIA,2024,FEV,84
SAMAMBAIA,2024,MAR,83
SAMAMBAIA,2024,ABR,100
SAMAMBAIA,2024,MAI,85
SAMAMBAIA,2024,JUN,94
SAMAMBAIA,2024,JUL,108
SAMAMBAIA,2024,AGO,100
SAMAMBAIA,2024,SET,93
SAMAMBAIA,2024,OUT,94
SAMAMBAIA,2024,NOV,100
SAMAMBAIA,2024,DEZ,88
